PUID,Name,Version,Number-of-sigs,Extensions,Deprecated
fmt/10,Tagged Image File Format,6,0,,Yes
fmt/1062,Hasselblad 3FR Raw Image,,0,3fr,
fmt/1088,Visual Basic (VB) File,,0,vb,
fmt/1089,VBScript (VBS) File,,0,vbs,
fmt/1090,Exclude File,,0,exclude,
fmt/1119,Jupyter Python Notebook,,0,ipynb,
fmt/113,Still Picture Interchange File Format,2,0,,
fmt/1149,Markdown,,0,md,
fmt/1165,Praat Script File,,0,praat,
fmt/1218,SubRip Subtitle File,,0,srt,
fmt/1229,Sibelius Sound Set Definition,,0,set,
fmt/1238,Band Interleaved By Line File,,0,bil,
fmt/1239,Band Interleaved By Pixel File,,0,bip,
fmt/1240,Band Sequential File,,0,bsq,
fmt/1253,ESRI Code Page File,,0,cpg,
fmt/1257,AutoCAD Temporary File,,0,ac$,
fmt/1365,Debug File,,0,dbg,
fmt/1367,GeoJSON,,0,geojson,
fmt/1369,Error File,,0,err,
fmt/149,JTIP (JPEG Tiled Image Pyramid),,0,,
fmt/150,JPEG-LS,,0,jls,
fmt/153,Tagged Image File Format for Image Technology (TIFF/IT),,0,tif,
fmt/153,Tagged Image File Format for Image Technology (TIFF/IT),,0,tiff,
fmt/156,Tagged Image File Format for Internet Fax (TIFF-FX),,0,tif,
fmt/156,Tagged Image File Format for Internet Fax (TIFF-FX),,0,tiff,
fmt/156,Tagged Image File Format for Internet Fax (TIFF-FX),,0,tfx,
fmt/159,EBCDIC-US,,0,ebcdic,
fmt/159,EBCDIC-US,,0,siard,
fmt/162,Microsoft Multiplan,4,0,mod,
fmt/164,Microsoft Works Word Processor for DOS,1.12,0,,Yes
fmt/165,Microsoft Works Word Processor for DOS,2,0,,Yes
fmt/167,Microsoft Works Spreadsheet for DOS,1.12,0,,Yes
fmt/168,Microsoft Works Spreadsheet for DOS,2,0,,Yes
fmt/169,Microsoft Works Database for DOS,1.05,0,wdb,
fmt/170,Microsoft Works Database for DOS,1.12,0,wdb,
fmt/171,Microsoft Works Database for DOS,2,0,wdb,
fmt/172,Microsoft Excel for Macintosh,3,0,,Yes
fmt/173,Microsoft Excel for Macintosh,4,0,,Yes
fmt/174,Microsoft Excel for Macintosh,98,0,,Yes
fmt/175,Microsoft Excel for Macintosh,2001,0,xls,
fmt/176,Microsoft Excel for Macintosh,2002,0,xls,
fmt/177,Microsoft Excel for Macintosh,2004,0,xls,
fmt/178,Microsoft Excel for Macintosh,X,0,,Yes
fmt/179,Microsoft PowerPoint for Macintosh,4,0,ppt,
fmt/180,Microsoft PowerPoint for Macintosh,98,0,,Yes
fmt/181,Microsoft PowerPoint for Macintosh,2001,0,ppt,
fmt/182,Microsoft PowerPoint for Macintosh,X,0,,Yes
fmt/195,ERDAS IMAGINE Gray-scale Bitmap Image,,0,gis,
fmt/197,InstallShield Compiled Rules File,,0,inx,
fmt/201,Mathematica Notebook,,0,nb,
fmt/204,RealVideo Clip,,0,rv,
fmt/205,Synchronized Multimedia Integration Language,,0,smil,
fmt/206,Structured Query Language Data,,0,sql,
fmt/207,Obsidium Project File,,0,opf,
fmt/208,Binary File,,0,bin,
fmt/209,Sound Designer II Audio File,,0,sd2,
fmt/210,Statistica Report File,,0,str,
fmt/212,Information or Setup File,,0,inf,
fmt/213,ScanIt Document,,0,sid,
fmt/218,Microsoft FrontPage,,0,lck,
fmt/219,Microsoft Works Database for Windows,2,0,wdb,
fmt/220,Microsoft Works Spreadsheet for Windows,2,0,,Yes
fmt/221,Microsoft Works Word Processor for Windows,2,0,,Yes
fmt/222,Microsoft Works Database for Windows,2.0a,0,wdb,
fmt/223,Microsoft Works Database for Windows,3,0,wdb,
fmt/224,Microsoft Works Database for Windows,3.0a,0,wdb,
fmt/225,Microsoft Works Database for Windows,3.0b,0,wdb,
fmt/226,Microsoft Works Database for Windows,4,0,wdb,
fmt/227,Microsoft Works Spreadsheet for Windows,2.0a,0,,Yes
fmt/228,Microsoft Works Spreadsheet for Windows,3,0,,Yes
fmt/229,Microsoft Works Spreadsheet for Windows,3.0a,0,,Yes
fmt/230,Microsoft Works Spreadsheet for Windows,3.0b,0,,Yes
fmt/231,Microsoft Works Spreadsheet for Windows,4,0,,Yes
fmt/232,Microsoft Works Word Processor for Windows,2.0a,0,,Yes
fmt/234,Microsoft Works Word Processor for Windows,3.0a,0,,Yes
fmt/235,Microsoft Works Word Processor for Windows,3.0b,0,,Yes
fmt/236,Microsoft Works Word Processor for Windows,4,0,,Yes
fmt/237,Microsoft Office Binder File for Windows,95,0,obd,
fmt/238,Microsoft Office Binder Template for Windows,95,0,obt,
fmt/239,Microsoft Office Binder Wizard for Windows,95,0,obz,
fmt/241,Microsoft Office Binder Template for Windows,97-2003,0,obt,
fmt/242,Microsoft Office Binder Wizard for Windows,97-2003,0,obz,
fmt/245,Structured Data Exchange Format,,0,,
fmt/246,Microsoft Works Database for Windows,4.0a,0,wdb,
fmt/247,Microsoft Works Spreadsheet for Windows,4.0a,0,,Yes
fmt/248,Microsoft Works Word Processor Windows,4.0a,0,,Yes
fmt/249,Microsoft Works Database for Windows,4.5,0,wdb,
fmt/250,Microsoft Works Spreadsheet for Windows,4.5,0,,Yes
fmt/251,Microsoft Works Word Processor Windows,4.5,0,,Yes
fmt/252,Microsoft Works Database for Windows,4.5a,0,wdb,
fmt/253,Microsoft Works Spreadsheet for Windows,4.5a,0,,Yes
fmt/254,Microsoft Works Word Processor Windows,4.5a,0,,Yes
fmt/256,Microsoft Works Database for Windows,2000,0,wdb,
fmt/257,Microsoft Works Spreadsheet for Windows,2000,0,,Yes
fmt/259,Microsoft Works Database for DOS,3,0,wdb,
fmt/260,Microsoft Works Database for DOS,3a,0,wdb,
fmt/261,Microsoft Works Database for DOS,3b,0,wdb,
fmt/262,Microsoft Works Spreadsheet for DOS,3,0,,Yes
fmt/263,Microsoft Works Spreadsheet for DOS,3a,0,,Yes
fmt/264,Microsoft Works Spreadsheet for DOS,3b,0,,Yes
fmt/265,Microsoft Works Word Processor DOS,3,0,,Yes
fmt/266,Microsoft Works Word Processor DOS,3a,0,,Yes
fmt/267,Microsoft Works Word Processor DOS,3b,0,,Yes
fmt/268,Microsoft Works Database for Macintosh,3,0,wdb,
fmt/269,Microsoft Works Database for Macintosh,4,0,wdb,
fmt/270,Microsoft Works Spreadsheet for Macintosh,3,0,wks,
fmt/271,Microsoft Works Spreadsheet for Macintosh,4,0,wks,
fmt/272,Microsoft Works Word Processor Macintosh,3,0,wps,
fmt/273,Microsoft Works Word Processor Macintosh,4,0,wps,
fmt/335,Dreamweaver Lock File,,0,lck,
fmt/367,ESRI World File Format,,0,tfw,
fmt/367,ESRI World File Format,,0,jgw,
fmt/367,ESRI World File Format,,0,pgw,
fmt/367,ESRI World File Format,,0,bpw,
fmt/367,ESRI World File Format,,0,tifw,
fmt/367,ESRI World File Format,,0,blw,
fmt/367,ESRI World File Format,,0,bilw,
fmt/367,ESRI World File Format,,0,jpgw,
fmt/367,ESRI World File Format,,0,rasterw,
fmt/367,ESRI World File Format,,0,btw,
fmt/421,Adobe Illustrator,Japan,0,ai,
fmt/46,Rich Text Format,1.1,0,,Yes
fmt/47,Rich Text Format,1.2,0,,Yes
fmt/48,Rich Text Format,1.3,0,,Yes
fmt/49,Rich Text Format,1.4,0,,Yes
fmt/497,Wireless Bitmap,,0,wbmp,
fmt/51,Rich Text Format,1.6,0,,Yes
fmt/530,eRuby HTML document,,0,rhtml,
fmt/530,eRuby HTML document,,0,rhtm,
fmt/60,Excel 95 Workbook (xls),7,0,,Yes
fmt/644,Nullsoft Scriptable Install System,,0,nsi,
fmt/658,Cypher Query Language,,0,cql,
fmt/664,Gerber Format,,0,gbr,
fmt/667,Photoshop Curve File,,0,acv,
fmt/667,Photoshop Curve File,,0,atf,
fmt/671,Serif PagePlus Publication,Generic,0,ppp,
fmt/7,Tagged Image File Format,3,0,,Yes
fmt/701,Processing Development Environment,,0,pde,
fmt/720,MBOX,,0,mbox,
fmt/721,VLW Font File,,0,vlw,
fmt/8,Tagged Image File Format,4,0,,Yes
fmt/800,CSV Schema,,0,csvs,
fmt/817,JSON Data Interchange Format,,0,json,
fmt/818,YAML,,0,yaml,
fmt/824,Apple iWork Pages,Generic,0,pages,
fmt/825,Apple iWork Numbers,Generic,0,numbers,
fmt/865,STL (Standard Tessellation Language) Binary,,0,stl,
fmt/870,Perl Script,,0,pl,
fmt/873,Notation3,,0,n3,
fmt/874,Turtle,,0,ttl,
fmt/875,RDF/XML,,0,rdf,
fmt/879,Fortran,,0,f90,
fmt/879,Fortran,,0,f95,
fmt/879,Fortran,,0,f03,
fmt/879,Fortran,,0,f,
fmt/879,Fortran,,0,for,
fmt/880,JSON-LD,,0,jsonld,
fmt/884,AXD HTTP Handler File,,0,axd,
fmt/885,BASIC File,,0,bas,
fmt/886,HTML Components,,0,htc,
fmt/897,Compressed MusicXML,,0,mxl,
fmt/9,Tagged Image File Format,5,0,,Yes
fmt/938,Python Script File,,0,py,
fmt/941,Back Up File,,0,bak,
fmt/949,WordPerfect,4.0/4.1/4.2,0,wp4,
fmt/949,WordPerfect,4.0/4.1/4.2,0,wpd,
fmt/990,ESRI File Geodatabase,,0,,
fmt/991,SHA256 File,,0,sha256,
fmt/992,SHA1 File,,0,sha1,
fmt/993,MD5 File,,0,md5,
x-fmt/100,AutoCAD Script,,0,scr,
x-fmt/102,3D Studio Shapes,,0,shp,
x-fmt/109,Scalable Vector Graphics Compressed,,0,svgz,
x-fmt/11,Revisable-Form-Text Document Content Architecture,,0,,
x-fmt/110,Fixed Width Values Text File,,0,,
x-fmt/111,Plain Text File,,0,txt,
x-fmt/112,AutoCAD External Database Configuration File,,0,udl,
x-fmt/113,Microsoft Visio Drawing,5,0,vsd,
x-fmt/118,Microsoft Works Spreadsheet,2,0,,Yes
x-fmt/120,Microsoft Works for Windows,4,0,wps,
x-fmt/123,Microsoft Excel Macro,4,0,xla,
x-fmt/123,Microsoft Excel Macro,4,0,xlm,
x-fmt/124,Microsoft Excel Add-In,,0,xla,
x-fmt/124,Microsoft Excel Add-In,,0,xll,
x-fmt/125,Microsoft Excel Toolbar,,0,xlb,
x-fmt/127,AutoCAD Xref Log,,0,xlg,
x-fmt/128,Microsoft Excel Workspace,,0,xlw,
x-fmt/129,Microsoft Word for Macintosh Document,X,0,,Yes
x-fmt/13,Tab-separated values,,0,tsv,
x-fmt/130,MS-DOS Text File with line breaks,,0,,
x-fmt/131,Stationery for Mac OS X,,0,doc,
x-fmt/132,Speller Custom Dictionary,,0,dic,
x-fmt/133,Speller Exclude Dictionary,,0,dic,
x-fmt/134,AutoCAD Device-Independent Binary Plotter File,,0,adi,
x-fmt/135,Audio Interchange File Format,1.3,0,,Yes
x-fmt/138,Active Server Page,,0,asp,
x-fmt/14,Macintosh Text File,,0,,
x-fmt/143,OS/2 Change Control File,,0,cin,
x-fmt/145,Stats+ Data File,,0,,
x-fmt/148,IBM DisplayWrite DCA Text File,,0,dca,
x-fmt/149,Desktop Color Separation File,,0,dcs,
x-fmt/15,MS-DOS Text File,,0,,
x-fmt/152,Digital Video,,0,dv,
x-fmt/155,AutoCAD Film Roll,,0,flm,
x-fmt/156,Ventura Publisher,,0,gen,
x-fmt/16,Unicode Text File,,0,,
x-fmt/160,Java Servlet Page,,0,jsp,
x-fmt/163,NAP Metafile,,0,nap,
x-fmt/165,Kodak PhotoCD Image,1,0,,Yes
x-fmt/166,PICS Animation,,0,pcs,
x-fmt/167,Adobe PhotoDeluxe,,0,pdd,
x-fmt/169,PHP Script Page,,0,php,
x-fmt/171,Inset Systems Bitmap,,0,pix,
x-fmt/172,Microsoft FoxPro Library,,0,plb,
x-fmt/173,PageMaker Document,5,0,pm5,
x-fmt/174,PageMaker Document,6,0,pm6,
x-fmt/175,MacPaint Graphics,,0,pnt,
x-fmt/177,Microsoft PowerPoint Graphics File,,0,ppi,
x-fmt/179,Microsoft Visual Modeller Petal file (ASCII),,0,ptl,
x-fmt/18,Comma Separated Values,,0,csv,
x-fmt/180,Instalit Script,,0,pvd,
x-fmt/181,PageMaker Document,6.5,0,p65,
x-fmt/185,Raw Bitmap,,0,raw,
x-fmt/186,Silicon Graphics RGB File,,0,,Yes
x-fmt/188,SDSC Image Tool Wavefront Raster Image,,0,rla,
x-fmt/189,SDSC Image Tool Run-Length Encoded Bitmap,,0,rle,
x-fmt/192,SAS for MS-DOS Catalog,,0,sct,
x-fmt/193,Unisys (Sperry) System Data File,,0,sdf,
x-fmt/194,IRIS Graphics,,0,,Yes
x-fmt/195,Standard Generalized Markup Language,,0,sgml,
x-fmt/195,Standard Generalized Markup Language,,0,sgm,
x-fmt/196,NeXt Sound,,0,,Yes
x-fmt/197,DataFlex Query Tag Name,,0,tag,
x-fmt/198,Pagemaker TableEditor Graphics,,0,tbl,
x-fmt/199,Turbo Debugger Keystroke Recording File,,0,tdk,
x-fmt/2,Microsoft Word for Macintosh Document,6,0,,Yes
x-fmt/200,PageMaker Time Stamp File,4,0,tym,
x-fmt/201,CCITT G.711 Audio,,0,ulaw,
x-fmt/203,WordPerfect for Windows Document,5.2,0,w52,
x-fmt/203,WordPerfect for Windows Document,5.2,0,wp,
x-fmt/203,WordPerfect for Windows Document,5.2,0,wpd,
x-fmt/203,WordPerfect for Windows Document,5.2,0,wp5,
x-fmt/204,Microsoft Word for Windows Macro,,0,wpm,
x-fmt/206,WordStar for Windows Document,1,0,wsd,
x-fmt/206,WordStar for Windows Document,1,0,ws,
x-fmt/206,WordStar for Windows Document,1,0,wsw,
x-fmt/209,SDSC Image Tool X Window Dump Format,,0,xwd,
x-fmt/21,7-bit ANSI Text,,0,ans,
x-fmt/210,XYWrite Document,,0,xy,
x-fmt/211,XYWrite Document,III,0,xy3,
x-fmt/212,Lotus 1-2-3 Worksheet,5,0,,Yes
x-fmt/213,Quicken Data File,,0,abd,
x-fmt/213,Quicken Data File,,0,qdf,
x-fmt/213,Quicken Data File,,0,qel,
x-fmt/216,Microsoft Powerpoint Packaged Presentation,,0,ppz,
x-fmt/217,Adobe ACD,,0,acd,
x-fmt/22,7-bit ASCII Text,,0,asc,
x-fmt/224,Cascading Style Sheet,,0,css,
x-fmt/225,ESRI MapInfo Data File,,0,mid,
x-fmt/229,Intergraph Raster Image,,0,ing,
x-fmt/23,Microsoft Excel Backup,,0,xlk,
x-fmt/24,AutoCAD Block Attribute Template,,0,blk,
x-fmt/242,Microsoft FoxPro Database,2.6,0,dbf,
x-fmt/244,Microsoft Project,95,0,mpp,
x-fmt/246,Microsoft Project,2000,0,,Yes
x-fmt/25,OS/2 Bitmap,1,0,,Yes
x-fmt/250,Microsoft Outlook Personal Folders,,0,,Yes
x-fmt/251,Microsoft Outlook Personal Folders,,0,,Yes
x-fmt/254,Microsoft Publisher,97,0,pub,
x-fmt/255,Microsoft Publisher,98,0,pub,
x-fmt/256,Microsoft Publisher,2000,0,pub,
x-fmt/259,Microsoft Visio Drawing,2002,0,vsd,
x-fmt/26,AutoCAD Batch Plot File,1.0-R14,0,bp2,
x-fmt/26,AutoCAD Batch Plot File,1.0-R14,0,bpl,
x-fmt/260,WordStar for MS-DOS Document,4,0,ws,
x-fmt/260,WordStar for MS-DOS Document,4,0,ws4,
x-fmt/262,WordStar for Windows Document,2,0,ws,
x-fmt/262,WordStar for Windows Document,2,0,wsw,
x-fmt/27,AutoCAD Batch Plot File,2000-2005,0,bp3,
x-fmt/272,dBASE Database,V,0,dbf,
x-fmt/273,Microsoft Word for MS-DOS Document,3,0,doc,
x-fmt/277,Real Video,,0,rv,
x-fmt/279,MPEG 1/2 Audio Layer 3 Streaming,,0,m3u,
x-fmt/281,Extensible Stylesheet Language,,0,xsl,
x-fmt/282,8-bit ANSI Text,,0,ans,
x-fmt/283,8-bit ASCII Text,,0,asc,
x-fmt/284,IBM DisplayWrite Final Form Text File,,0,fft,
x-fmt/285,IBM DisplayWrite Revisable Form Text File,,0,rft,
x-fmt/286,DEC Data Exchange File,,0,dx,
x-fmt/287,DEC WPS Plus Document,,0,wpl,
x-fmt/288,IBM DisplayWrite Document,2,0,,
x-fmt/289,IBM DisplayWrite Document,3,0,,
x-fmt/293,Hewlett Packard Graphics Language,,0,hpgl,
x-fmt/296,Micrografx Designer,3.1,0,drw,
x-fmt/3,Online Description Tool Format,,0,odt,
x-fmt/30,CorelDraw Template,,0,cdt,
x-fmt/301,ACBM Graphics,,0,acb,
x-fmt/304,Aldus Freehand Drawing,4,0,fh4,
x-fmt/305,Apple Sound,,0,afc,
x-fmt/306,AutoSketch Drawing,,0,skf,
x-fmt/308,Btrieve Database,5.1,0,btr,
x-fmt/310,CorelCHART Document,,0,cch,
x-fmt/311,dBASE Text Memo,,0,dbt,
x-fmt/312,DesignCAD Drawing,,0,dc2,
x-fmt/312,DesignCAD Drawing,,0,dc,
x-fmt/313,DesignCAD for Windows Drawing,,0,dw2,
x-fmt/315,Document Type Definition,,0,dtd,
x-fmt/316,Dr Halo Bitmap,,0,cut,
x-fmt/321,Framework Database,II,0,fw,
x-fmt/321,Framework Database,II,0,fw2,
x-fmt/322,Framework Database,III,0,fw3,
x-fmt/323,Framework Database,IV,0,fw4,
x-fmt/326,Hewlett Packard AdvanceWrite Text File,,0,aw,
x-fmt/327,IntelliDraw Vector Graphics,,0,idw,
x-fmt/328,InterBase Database,,0,gdb,
x-fmt/329,Interleaf Document,,0,doc,
x-fmt/332,Lotus 1-2-3 Spreadsheet Formatting File,3,0,fm3,
x-fmt/333,Lotus Approach View File,97,0,apr,
x-fmt/334,Lotus Approach View File,,0,apt,
x-fmt/335,Lotus Freelance Smartmaster Graphics,,0,mas,
x-fmt/336,Lotus Notes Database,2,0,ns2,
x-fmt/336,Lotus Notes Database,2,0,nsf,
x-fmt/337,Lotus Notes Database,3,0,nsf,
x-fmt/337,Lotus Notes Database,3,0,ns3,
x-fmt/338,Lotus Notes Database,4,0,ns4,
x-fmt/338,Lotus Notes Database,4,0,nsf,
x-fmt/339,Lotus Notes File,,0,box,
x-fmt/343,Microsoft Visual FoxPro Table,,0,dbx,
x-fmt/344,Microsoft Works Database,,0,bdb,
x-fmt/345,Microsoft Works Document,,0,bps,
x-fmt/346,Microstation CAD Drawing,95,0,dgn,
x-fmt/347,MultiMate Text File,4.x,0,dox,
x-fmt/349,Nota Bene Text File,,0,nb,
x-fmt/351,PageMaker Document,3,0,pm3,
x-fmt/352,PageMaker Document,4,0,pm4,
x-fmt/353,Professional Write Text File,,0,pw,
x-fmt/354,SAP Document,,0,ali,
x-fmt/355,SAS Data File,,0,ssd,
x-fmt/356,SAS for MS-DOS Database,,0,ssd,
x-fmt/357,Scanstudio 16-Colour Bitmap,,0,adc,
x-fmt/358,Silicon Graphics Graphics File,,0,,Yes
x-fmt/361,StatGraphics Data File,,0,aws,
x-fmt/362,StratGraphics Data File,,0,asf,
x-fmt/365,TeX Binary File,,0,dvi,
x-fmt/368,VisiCalc Database,,0,dif,
x-fmt/369,Vista Pro Graphics,,0,dem,
x-fmt/370,WordStar for MS-DOS Document,3,0,ws3,
x-fmt/370,WordStar for MS-DOS Document,3,0,ws,
x-fmt/371,XYWrite for Windows Document,4,0,xyw,
x-fmt/372,XYWrite Document,III+,0,xyp,
x-fmt/373,XYWrite Document,IV,0,xy4,
x-fmt/38,AutoCAD Custom Dictionary,,0,cus,
x-fmt/380,dBASE for Windows database,5,0,dbf,
x-fmt/381,Dia Graphics Format,,0,dia,
x-fmt/39,AutoCAD dbConnect Query Set,,0,dbq,
x-fmt/40,AutoCAD dbConnect Template Set,,0,dbt,
x-fmt/402,StarOffice Draw,5.2,0,,Yes
x-fmt/403,StarOffice Writer,5.2,0,,Yes
x-fmt/404,StarOffice Calc,5.2,0,,Yes
x-fmt/405,StarOffice Impress,5.2,0,,Yes
x-fmt/413,Batch file (executable),,0,bat,
x-fmt/417,HTML Extension File,,0,htx,
x-fmt/42,Wordperfect Secondary File,5,0,doc,
x-fmt/421,Text Configuration file,,0,ini,
x-fmt/422,Java language source code file,,0,java,
x-fmt/423,JavaScript file,,0,js,
x-fmt/424,Deluxe Paint bitmap,,0,lbm,
x-fmt/425,Generic Library File,,0,lib,
x-fmt/426,License file,,0,lic,
x-fmt/427,Acrobat Language definition file,,0,lng,
x-fmt/43,Wordperfect Secondary File,5.1/5.2,0,doc,
x-fmt/437,CATIA Project,4,0,project,
x-fmt/441,AutoCAD Database File Locking Information,,0,dwl,
x-fmt/442,form*Z Project File,,0,fmz,
x-fmt/443,Revit Family File,,0,rfa,
x-fmt/444,Revit Family Template,,0,rft,
x-fmt/445,Revit Template,,0,rte,
x-fmt/446,Revit External Group,,0,rvg,
x-fmt/447,Revit Project,,0,rvt,
x-fmt/448,Revit Workspace,,0,rws,
x-fmt/449,Steel Detailing Neutral Format,,0,sdn,
x-fmt/452,SketchUp Document,,0,,Yes
x-fmt/46,Microsoft Excel ODBC Query,,0,dqy,
x-fmt/48,Visual Basic Macro,,0,dvb,
x-fmt/5,Works for Macintosh Document,4,0,,
x-fmt/50,AutoCAD Drawing Standards File,,0,dws,
x-fmt/51,AutoCAD Drawing Template,,0,dwt,
x-fmt/52,Drawing Interchange Format Style Extract,,0,dxx,
x-fmt/54,AutoCAD Font Mapping Table,,0,fmp,
x-fmt/55,Frame Vector Metafile,,0,fmv,
x-fmt/57,Ventura Publisher Vector Graphics,,0,gem,
x-fmt/58,Microsoft Excel Web Query,,0,iqy,
x-fmt/59,AutoCAD Last Saved Layer State,,0,las,
x-fmt/6,FoxPro Database,2,0,dbf,
x-fmt/60,AutoCAD Linetype Definition File,,0,lin,
x-fmt/61,AutoCAD Landscape Library,,0,lli,
x-fmt/62,Log File,,0,log,
x-fmt/63,AutoLISP File,,0,lsp,
x-fmt/67,Met Metafile,,0,met,
x-fmt/68,AutoCAD Compiled Menu,,0,mnc,
x-fmt/69,AutoLISP Menu Source File,,0,mnl,
x-fmt/7,FoxPro Database,2.5,0,dbf,
x-fmt/70,AutoCAD Menu Resource File,,0,mnr,
x-fmt/70,AutoCAD Menu Resource File,,0,mnt,
x-fmt/71,AutoCAD Source Menu File,,0,mns,
x-fmt/72,AutoCAD Template Menu File,,0,mnu,
x-fmt/73,Microsoft Outlook Address Book,,0,olk,
x-fmt/74,Microsoft Excel OLAP Query,,0,oqy,
x-fmt/76,CorelDraw Pattern,,0,pat,
x-fmt/77,AutoCAD Plot Configuration File,R14,0,pc2,
x-fmt/79,AutoCAD Plot Configuration File,1.0-R13,0,pcp,
x-fmt/81,Inkwriter/Notetaker Template,,0,pdt,
x-fmt/83,Hewlett Packard Vector Graphic Plotter File,,0,plt,
x-fmt/84,Microsoft Powerpoint Design Template,,0,pot,
x-fmt/86,Microsoft Powerpoint Add-In,,0,ppa,
x-fmt/87,Microsoft Powerpoint Presentation Show,97-2003,0,pps,
x-fmt/89,Freelance File,1.0-2.1,0,pre,
x-fmt/90,Microsoft Print File,,0,prn,
x-fmt/93,Postscript Support File,,0,psf,
x-fmt/96,Pocket Word Template,,0,pwt,
x-fmt/97,Microsoft Excel OLE DB Query,,0,rqy,
x-fmt/98,AutoCAD ACIS Export File,,0,sat,
x-fmt/99,Schedule+ Contacts,,0,scd,
